,CLASSIFICATION,CLASSIFICATION_CODE,Area,bachelor_leased_q4,bachelor_avg_lease_rate_q4,1_bedroom_leased_q4,1_bedroom_avg_lease_rate_q4,2_bedrooms_leased_q4,2_bedrooms_avg_lease_rate_q4,3_bedrooms_leased_q4,3_bedrooms_avg_lease_rate_q4,bachelor_leased_q3,bachelor_avg_lease_rate_q3,1_bedroom_leased_q3,1_bedroom_avg_lease_rate_q3,2_bedrooms_leased_q3,2_bedrooms_avg_lease_rate_q3,3_bedrooms_leased_q3,3_bedrooms_avg_lease_rate_q3,bachelor_leased_q2,bachelor_avg_lease_rate_q2,1_bedroom_leased_q2,1_bedroom_avg_lease_rate_q2,2_bedrooms_leased_q2,2_bedrooms_avg_lease_rate_q2,3_bedrooms_leased_q2,3_bedrooms_avg_lease_rate_q2,bachelor_leased_q1,bachelor_avg_lease_rate_q1,1_bedroom_leased_q1,1_bedroom_avg_lease_rate_q1,2_bedrooms_leased_q1,2_bedrooms_avg_lease_rate_q1,3_bedrooms_leased_q1,3_bedrooms_avg_lease_rate_q1,area_sq_meters,perimeter_meters,park_count,ASSAULT_2023,ASSAULT_RATE_2023,AUTOTHEFT_2023,AUTOTHEFT_RATE_2023,BIKETHEFT_2023,BIKETHEFT_RATE_2023,BREAKENTER_2023,BREAKENTER_RATE_2023,HOMICIDE_2023,HOMICIDE_RATE_2023,ROBBERY_2023,ROBBERY_RATE_2023,SHOOTING_2023,SHOOTING_RATE_2023,THEFTFROMMV_2023,THEFTFROMMV_RATE_2023,THEFTOVER_2023,THEFTOVER_RATE_2023,total_stop_count,avg_stop_frequency,max_stop_frequency,total_line_length_meters,transit_line_density,distinct_route_count
57,Neighbourhood Improvement Area,NIA,Toronto E08,0,0,8,2224,9,2922,3,3267,0,0,13,2304,11,2812,1,3300,1,1900,9,2178,18,2736,3,3242,0,0,10,2260,17,2639,2,2900,0.000360247253044,0.1074635898005434,9,170,670.981994628906,51,201.29460144043,16.0,63.1512489318848,53,209.188507080078,1.0,3.9469530582428,35.0,138.143356323242,3.0,11.8408584594727,98,386.801391601563,8.0,31.5756244659424,47,414.25531914893617,1381,1.1334395214863933,1.133031350054923,23
58,Neighbourhood Improvement Area,NIA,Toronto W03,0,0,8,2349,5,3150,0,0,1,1625,15,2307,26,2961,0,0,1,1675,79,2284,75,2758,3,3332,0,0,11,2214,6,2675,1,3200,0.0005662071995637,0.1294151519909053,21,179,746.019836425781,77,320.91357421875,12.0,50.0125045776367,53,220.888549804688,,,20.0,83.3541717529297,8.0,33.341667175293,92,383.42919921875,11.0,45.8447952270508,99,310.26262626262627,747,1.0642366773228702,1.0636344398453257,20
59,Not an NIA or Emerging Neighbourhood,,Toronto W05,3,1900,45,2433,21,2933,2,3200,1,1900,45,2473,24,2959,1,3500,2,1675,46,2429,20,2750,1,3500,3,1682,31,2384,17,2683,2,3275,0.0002610419043461,0.1111449915404055,13,168,701.197875976563,23,95.9973297119141,43.0,179.473266601563,33,137.735290527344,2.0,8.34759426116943,7.0,29.2165775299072,1.0,4.17379713058472,37,154.430480957031,11.0,45.9117660522461,33,489.5151515151515,1145,0.758611961421884,0.7584139835913245,10
60,Neighbourhood Improvement Area,NIA,Toronto W03,0,0,8,2349,5,3150,0,0,1,1625,15,2307,26,2961,0,0,1,1675,79,2284,75,2758,3,3332,0,0,11,2214,6,2675,1,3200,0.0001625554842258,0.0602823366104354,8,119,984.447387695313,23,190.271347045898,7.0,57.9086685180664,38,314.361358642578,,,6.0,49.6360015869141,4.0,33.0906677246094,16,132.362670898438,4.0,33.0906677246094,24,414.75,618,0.3412998787472153,0.3412444075972989,7
61,Not an NIA or Emerging Neighbourhood,,Toronto C08,89,2171,840,2557,356,3390,31,4228,207,2296,1439,2652,700,3630,80,5844,199,2095,1346,2512,675,3470,89,4420,119,2080,909,2486,438,3325,27,4119,0.0001093262154122,0.0471055044085725,7,418,1255.29296875,72,216.222702026367,81.0,243.250549316406,142,426.439239501953,1.0,3.00309324264526,46.0,138.142288208008,7.0,21.0216522216797,92,276.284576416016,31.0,93.0958862304688,26,624.3076923076923,857,0.6768013158935496,0.6767273318554919,9
62,Neighbourhood Improvement Area,NIA,Toronto E03,1,1825,8,2388,7,2896,0,0,3,1658,6,2533,4,3113,0,0,1,1725,16,2056,6,2582,0,0,1,1749,16,1876,6,2233,0,0,0.0001187062737725,0.061358323876447,3,142,859.564147949219,28,169.49153137207,16.0,96.8523025512695,18,108.958839416504,,,29.0,175.544799804688,1.0,6.05326890945435,33,199.757873535156,3.0,18.1598072052002,32,330.25,467,0.7382923832352691,0.7382047536996763,12
63,Neighbourhood Improvement Area,NIA,Toronto E06,1,2150,14,2346,10,2818,1,3500,1,2099,12,2371,9,2903,1,3600,1,1975,35,2118,7,2978,0,0,0,0,8,2184,7,2956,0,0,0.0002097697458174,0.0820492473055384,13,215,1387.45483398438,23,148.425399780273,3.0,19.3598346710205,29,187.145065307617,,,18.0,116.15901184082,3.0,19.3598346710205,54,348.477020263672,5.0,32.2663917541504,51,340.84313725490193,910,1.9608086370479887,1.9603974049826447,21
64,Not an NIA or Emerging Neighbourhood,,Toronto E06,1,2150,14,2346,10,2818,1,3500,1,2099,12,2371,9,2903,1,3600,1,1975,35,2118,7,2978,0,0,0,0,8,2184,7,2956,0,0,0.000671094524794,0.1505593080425412,20,210,830.82763671875,73,288.8115234375,6.0,23.7379341125488,34,134.514953613281,,,14.0,55.3885116577148,1.0,3.95632219314575,54,213.641403198242,7.0,27.6942558288574,101,282.6930693069307,790,1.2910227893335542,1.2901569720534842,13
65,Not an NIA or Emerging Neighbourhood,,Toronto W10,0,0,10,2365,12,2925,1,2780,0,0,19,2369,12,2907,1,3500,0,0,17,2268,6,2796,0,0,0,0,19,2268,11,2702,0,0,0.0033683945179011,0.2836666140012758,21,322,861.146789550781,837,2238.44677734375,10.0,26.743688583374,212,566.966186523438,2.0,5.3487377166748,77.0,205.926406860352,9.0,24.0693187713623,315,842.426208496094,79.0,211.275146484375,312,289.09615384615387,1499,7.250889413112757,7.226547549962113,22
66,Neighbourhood Improvement Area,NIA,Toronto E09,1,2250,70,2446,38,2994,1,3200,9,2292,137,2559,102,3110,4,3825,7,2023,98,2445,80,2907,8,3538,3,2000,52,2415,48,2875,6,3250,0.0007043960691083,0.1413979970209783,13,187,644.671997070313,105,361.981597900391,13.0,44.8167686462402,45,155.134963989258,2.0,6.89488744735718,23.0,79.2912063598633,5.0,17.2372188568115,92,317.164825439453,10.0,34.474437713623,91,412.38461538461536,1133,1.6237402918812738,1.622597340692744,20
