AREA_NAME,Bachelor Leased,bachelor_avg_lease_rate,1_bedrooms_leased,1_bed_room_avg_lease_rate,2_bedrooms_leased,2_bedrooms_avg_lease_rate,3_bedrooms_leased,3_bedrooms_avg_lease_rate,area_sq_meters,perimeter_meters,park_count,ASSAULT_RATE,AUTOTHEFT_RATE,HOMICIDE_RATE,ROBBERY_RATE,SHOOTING_RATE,THEFTOVER_RATE,POPULATION,total_stop_count,avg_stop_frequency,max_stop_frequency,total_line_length_meters,transit_line_density,distinct_route_count,YEAR,avg_rent_1br,rent_lag_1,rent_lag_2,rent_growth_rate,TARGET_RENT_5YR
Bridle Path-Sunnybrook-York Mills,0.0,0.0,31.0,1817.75,32.0,3223.0,2.0,3400.0,0.0009878342304107,0.1696715516475727,15.0,185.488265991211,54.5553741455078,,10.9110746383667,,87.2885971069336,,73.0,265.6027397260274,911.0,1.247434698564548,1.246203655935152,14.0,2014,1817.75,1846.0,1820.25,-1.5303358613217768,2440.740740740741
Bridle Path-Sunnybrook-York Mills,0.0,,29.0,1839.5,48.0,2921.5,1.0,2400.0,0.0009878342304107,0.1696715516475727,15.0,313.750946044922,119.008979797363,,10.818998336792,,21.637996673584,,73.0,265.6027397260274,911.0,1.247434698564548,1.246203655935152,14.0,2015,1839.5,1817.75,1846.0,1.196534176867006,2076.512195121951
Bridle Path-Sunnybrook-York Mills,,,2.0,,,2919.0,,,0.0009878342304107,0.1696715516475727,15.0,182.815353393555,111.720497131348,,20.312816619873,,50.7820434570313,,73.0,265.6027397260274,911.0,1.247434698564548,1.246203655935152,14.0,2016,2070.2,1839.5,1817.75,12.5414514813808,2297.1666666666665
Bridle Path-Sunnybrook-York Mills,,,3.0,,,3090.0,,,0.0009878342304107,0.1696715516475727,15.0,264.066619873047,30.4692268371582,,10.1564083099365,10.1564083099365,50.7820434570313,0.0,73.0,265.6027397260274,911.0,1.247434698564548,1.246203655935152,14.0,2017,2317.2,2070.2,1839.5,11.931214375422664,2520.8333333333335
Bridle Path-Sunnybrook-York Mills,,,3.0,,,3090.0,,,0.0009878342304107,0.1696715516475727,15.0,264.066619873047,30.4692268371582,,10.1564083099365,10.1564083099365,50.7820434570313,0.0,73.0,265.6027397260274,911.0,1.247434698564548,1.246203655935152,14.0,2017,2317.2,2317.2,2070.2,0.0,2520.8333333333335
Bridle Path-Sunnybrook-York Mills,,,1.0,,,3404.0,,,0.0009878342304107,0.1696715516475727,15.0,314.05126953125,91.1761703491211,,,20.2613716125488,40.5227432250977,,73.0,265.6027397260274,911.0,1.247434698564548,1.246203655935152,14.0,2018,2461.0,2317.2,2317.2,6.205765579147255,5907.833333333333
Bridle Path-Sunnybrook-York Mills,0.0,,27.0,2440.740740740741,26.0,3295.4615384615386,0.0,,0.0009878342304107,0.1696715516475727,15.0,442.745025634766,110.686256408691,,130.81103515625,30.1871604919434,30.1871604919434,0.0,73.0,265.6027397260274,911.0,1.247434698564548,1.246203655935152,14.0,2019,2440.740740740741,2461.0,2317.2,-0.823212485138526,2770.0
Bridle Path-Sunnybrook-York Mills,2.0,1400.0,41.0,2076.512195121951,70.0,2469.8142857142857,1.0,4500.0,0.0009878342304107,0.1696715516475727,15.0,459.448669433594,149.820220947266,,59.9280853271484,29.9640426635742,59.9280853271484,0.0,73.0,265.6027397260274,911.0,1.247434698564548,1.246203655935152,14.0,2020,2076.512195121951,2440.740740740741,2461.0,-14.922869092120363,
Bridle Path-Sunnybrook-York Mills,,1400.0,14.0,,,2034.0,,,0.0009878342304107,0.1696715516475727,15.0,423.228332519531,383.858276367188,,49.2125968933105,,9.84251976013184,12137.0,73.0,265.6027397260274,911.0,1.247434698564548,1.246203655935152,14.0,2021,2297.1666666666665,2076.512195121951,2440.740740740741,10.626206388918247,
Bridle Path-Sunnybrook-York Mills,,0.0,4.0,,,4400.0,,,0.0009878342304107,0.1696715516475727,15.0,325.581390380859,558.139526367188,,27.9069766998291,9.30232524871826,55.8139533996582,12137.0,73.0,265.6027397260274,911.0,1.247434698564548,1.246203655935152,14.0,2022,2520.8333333333335,2297.1666666666665,2076.512195121951,9.736632083000812,
