AREA_NAME,YEAR,avg_rent_1br,POPULATION,ASSAULT_RATE,AUTOTHEFT_RATE,BIKETHEFT_RATE,HOMICIDE_RATE,ROBBERY_RATE,SHOOTING_RATE,THEFTFROMMV_RATE,THEFTOVER_RATE,park_count,transit_line_density,total_stop_count,BREAKENTER_RATE,TARGET_RENT_5YR,rent_lag_1,rent_lag_2,rent_growth_rate
Steeles,2012,1358.75,25870.0,177.423812866211,78.8550262451172,3.94275116920471,7.04920339584351,31.5420093536377,7.88550233840942,94.6260299682617,11.8282537460327,10.0,0.9113752584888468,80.0,134.936218261719,1609.5,1314.3333333333333,1291.0,0.03379406543241193
Steeles,2013,1362.0,25870.0,177.423812866211,78.8550262451172,3.94275116920471,7.04920339584351,31.5420093536377,7.88550233840942,94.6260299682617,11.8282537460327,10.0,0.9113752584888468,80.0,134.936218261719,1784.0,1358.75,1314.3333333333333,0.002391904323827047
Steeles,2014,1391.0,25870.0,177.423812866211,78.8550262451172,3.94275116920471,7.04920339584351,31.5420093536377,7.88550233840942,94.6260299682617,11.8282537460327,10.0,0.9113752584888468,80.0,134.936218261719,,1362.0,1358.75,0.021292217327459617
Steeles,2015,1356.0,25870.0,143.329223632813,63.7018737792969,11.9441013336182,7.04920339584351,35.8323059082031,7.88550233840942,103.515548706055,11.9441013336182,10.0,0.9113752584888468,80.0,134.936218261719,,1391.0,1362.0,-0.02516175413371675
Steeles,2016,1451.25,25870.0,174.016220092773,122.602333068848,3.95491409301758,7.04920339584351,59.3237113952637,7.88550233840942,83.0531921386719,7.90982818603516,10.0,0.9113752584888468,80.0,134.936218261719,,1356.0,1391.0,0.0702433628318584
Steeles,2017,1609.5,25870.0,164.256240844727,124.193740844727,24.0374984741211,7.04920339584351,20.0312480926514,7.88550233840942,128.199996948242,24.0374984741211,10.0,0.9113752584888468,80.0,134.936218261719,2182.75,1451.25,1356.0,0.10904392764857881
Steeles,2018,1784.0,25870.0,133.977508544922,97.4381866455078,24.0374984741211,7.04920339584351,36.5393218994141,4.05992460250854,166.456909179688,12.1797733306885,10.0,0.9113752584888468,80.0,134.936218261719,2432.0,1609.5,1451.25,0.10841876359117739
Steeles,2022,2182.75,25870.0,179.914947509766,167.648025512695,4.08897590637207,7.04920339584351,28.6228332519531,4.05992460250854,167.648025512695,16.3559036254883,10.0,0.9113752584888468,80.0,134.936218261719,,1784.0,1609.5,0.2235145739910314
Steeles,2023,2432.0,25870.0,192.269958496094,247.204238891602,11.7716302871704,7.04920339584351,27.4671382904053,3.92387676239014,90.2491683959961,3.92387676239014,10.0,0.9113752584888468,80.0,105.944671630859,,2182.75,1784.0,0.11419081433970908
Steeles,2024,2274.0,25870.0,193.274063110352,166.215698242188,23.1928882598877,7.04920339584351,34.7893295288086,3.92387676239014,57.9822196960449,15.4619245529175,10.0,0.9113752584888468,80.0,105.944671630859,,2432.0,2182.75,-0.0649671052631579
